Palavra,Documentos
desnutrição,"[(1, 1), (136, 1), (146, 1)]"
disponíveis,"[(1, 1), (206, 1)]"
mostram,"[(1, 2), (4, 1), (24, 1), (27, 1), (68, 1), (94, 1), (95, 1), (143, 1), (193, 2), (204, 1), (236, 1), (263, 1)]"
altas,"[(1, 1), (4, 1), (17, 1), (28, 1)]"
admissões,"[(1, 1)]"
hospitalares,"[(1, 1), (73, 1)]"
crianças,"[(1, 1), (68, 2), (85, 2), (104, 1), (105, 2), (108, 1), (130, 1), (134, 1), (146, 1), (148, 2), (161, 1), (162, 2), (170, 1), (187, 1), (193, 2), (197, 1), (217, 1), (249, 1), (265, 1)]"
desnutridas,"[(1, 1)]"
diz,"[(1, 1), (5, 1), (6, 2), (7, 1), (8, 1), (10, 1), (11, 1), (12, 1), (14, 1), (16, 1), (17, 2), (20, 1), (28, 1), (32, 2), (44, 3), (45, 3), (50, 1), (57, 1), (58, 1), (61, 3), (63, 1), (65, 1), (66, 1), (68, 3), (69, 2), (73, 2), (78, 1), (81, 1), (83, 1), (92, 1), (95, 1), (96, 2), (100, 2), (102, 1), (104, 1), (105, 1), (113, 1), (118, 4), (124, 1), (131, 2), (133, 2), (134, 1), (137, 1), (145, 1), (157, 1), (160, 10), (165, 1), (168, 1), (173, 1), (175, 1), (177, 4), (179, 2), (180, 1), (192, 3), (196, 1), (201, 1), (205, 2), (211, 1), (215, 5), (224, 1), (225, 1), (234, 3), (236, 2), (238, 1), (240, 2), (245, 1), (249, 3), (253, 1), (255, 1), (258, 1), (263, 8), (264, 1), (266, 1), (270, 3)]"
relatório,"[(1, 2), (4, 5), (6, 3), (20, 1), (63, 1), (89, 1), (99, 1), (103, 3), (139, 2), (162, 3), (192, 3), (196, 2), (207, 2), (223, 1), (240, 1), (248, 1), (252, 1), (258, 3)]"
utilizados,"[(1, 1), (17, 1), (32, 1), (38, 1), (82, 1), (93, 1)]"
unicef,"[(1, 1)]"
quase,"[(1, 1), (18, 1), (20, 1), (32, 1), (43, 1), (53, 1), (58, 2), (63, 1), (70, 3), (77, 1), (91, 1), (96, 1), (99, 1), (106, 1), (107, 2), (114, 1), (128, 1), (133, 1), (143, 1), (146, 2), (157, 1), (162, 1), (163, 1), (164, 2), (167, 1), (171, 1), (176, 1), (197, 1), (205, 1), (206, 1), (208, 1), (220, 1), (225, 1), (231, 1), (232, 1), (245, 3), (249, 1), (262, 2), (266, 1), (267, 1), (272, 1), (276, 1)]"
duplicação,"[(1, 1), (232, 1)]"
taxas,"[(1, 1), (17, 1), (113, 1), (157, 1), (205, 1)]"
últimos,"[(1, 1), (20, 1), (24, 1), (30, 1), (53, 2), (58, 2), (77, 1), (95, 1), (112, 1), (114, 1), (124, 1), (130, 1), (160, 1), (164, 1), (177, 1), (196, 1), (206, 1), (220, 1), (225, 1), (233, 1), (235, 1), (240, 1), (245, 1), (250, 1), (264, 2), (266, 1)]"
cinco,"[(1, 1), (16, 1), (36, 1), (46, 1), (53, 1), (81, 1), (82, 1), (100, 2), (104, 1), (108, 1), (114, 1), (146, 1), (148, 1), (158, 1), (162, 1), (165, 1), (170, 1), (173, 1), (174, 1), (199, 1), (201, 1), (203, 3), (205, 1), (208, 1), (214, 1), (215, 1), (224, 1), (225, 1), (234, 1), (248, 2), (253, 2), (255, 1), (265, 1), (266, 1), (269, 1)]"
